LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
kare,Kare,2,gnd:4097651-8; gnd:4163299-0,gnd:4097651-8:pref; gnd:4163299-0:alt,1,1
"kartenherstellung,beruf","Kartenherstellung,Beruf",2,gnd:4452506-0; gnd:7539255-0,gnd:4452506-0:alt; gnd:7539255-0:alt,0,2
karthvelologist,Karthvelologist,2,gnd:1176151924; gnd:1176152432,gnd:1176151924:alt; gnd:1176152432:alt,0,2
karthvélologue,Karthvélologue,2,gnd:1176151924; gnd:1176152432,gnd:1176151924:alt; gnd:1176152432:alt,0,2
karton,Karton,2,gnd:1256072893; gnd:4131382-3,gnd:1256072893:alt; gnd:4131382-3:pref,1,1
kaschkai,Kaschkai,2,gnd:1153433702; gnd:4073279-4,gnd:1153433702:alt; gnd:4073279-4:alt,0,2
kasem,Kasem,2,gnd:4232700-3; gnd:4459211-5,gnd:4232700-3:pref; gnd:4459211-5:alt,1,1
kattang,Kattang,2,gnd:1059103389; gnd:7698282-8,gnd:1059103389:alt; gnd:7698282-8:pref,1,1
kaufschatz,Kaufschatz,2,gnd:4142233-8; gnd:4736684-9,gnd:4142233-8:alt; gnd:4736684-9:alt,0,2
keks,KEKS,2,gnd:1077632037; gnd:4279603-9,gnd:1077632037:pref; gnd:4279603-9:pref,2,0
kel adagh,Kel Adagh,2,gnd:4644276-5; gnd:4807708-2,gnd:4644276-5:pref; gnd:4807708-2:alt,1,1
keller,Keller,2,gnd:1372763384; gnd:4030194-1,gnd:1372763384:alt; gnd:4030194-1:pref,1,1
kellertheater,Kellertheater,2,gnd:4125054-0; gnd:4190833-8,gnd:4125054-0:alt; gnd:4190833-8:alt,0,2
kemantsche,Kemantsche,2,gnd:1036552357; gnd:4349344-0,gnd:1036552357:alt; gnd:4349344-0:alt,0,2
kemençe,Kemençe,2,gnd:1036552357; gnd:4349344-0,gnd:1036552357:alt; gnd:4349344-0:alt,0,2
kernanregung,Kernanregung,2,gnd:4163600-4; gnd:4495129-2,gnd:4163600-4:pref; gnd:4495129-2:alt,1,1
kerninduktion,Kerninduktion,2,gnd:4037005-7; gnd:4075421-2,gnd:4037005-7:alt; gnd:4075421-2:alt,0,2
kerub,Kerub,2,gnd:1162069619; gnd:4511230-7,gnd:1162069619:alt; gnd:4511230-7:alt,0,2
kfk,KFK,2,gnd:4164540-6; gnd:4662232-9,gnd:4164540-6:alt; gnd:4662232-9:alt,0,2
khadia,Khadia,2,gnd:4284315-7; gnd:4376383-2,gnd:4284315-7:alt; gnd:4376383-2:alt,0,2
khalaj,Khalaj,2,gnd:1095799665; gnd:4198357-9,gnd:1095799665:alt; gnd:4198357-9:alt,0,2
khariya,Khariya,2,gnd:4284315-7; gnd:4376383-2,gnd:4284315-7:alt; gnd:4376383-2:alt,0,2
kharvi,Kharvi,2,gnd:4284315-7; gnd:4376383-2,gnd:4284315-7:alt; gnd:4376383-2:alt,0,2
khatria,Khatria,2,gnd:4284315-7; gnd:4376383-2,gnd:4284315-7:alt; gnd:4376383-2:alt,0,2
kheria,Kheria,2,gnd:4284315-7; gnd:4376383-2,gnd:4284315-7:alt; gnd:4376383-2:alt,0,2
khinalug,Khinalug,2,gnd:4461819-0; gnd:7857745-7,gnd:4461819-0:alt; gnd:7857745-7:alt,0,2
khk-finanzbuchhaltung,KHK-Finanzbuchhaltung,2,gnd:4351809-6; gnd:4649675-0,gnd:4351809-6:alt; gnd:4649675-0:pref,1,1
khs,KHS,2,gnd:4443449-2; gnd:4497017-1,gnd:4443449-2:alt; gnd:4497017-1:alt,0,2
kibo,Kibo,2,gnd:4229114-8; gnd:4684095-3,gnd:4229114-8:alt; gnd:4684095-3:alt,0,2
kibyen,Kibyen,2,gnd:4229114-8; gnd:4684095-3,gnd:4229114-8:alt; gnd:4684095-3:alt,0,2
kiga,Kiga,2,gnd:4430000-1; gnd:4783582-5,gnd:4430000-1:pref; gnd:4783582-5:alt,1,1
kihunde,Kihunde,2,gnd:1336876913; gnd:4297911-0,gnd:1336876913:alt; gnd:4297911-0:alt,0,2
kilenge,Kilenge,2,gnd:1054410208; gnd:7714360-7,gnd:1054410208:alt; gnd:7714360-7:pref,1,1
kilivila,Kilivila,2,gnd:1073291626; gnd:4124698-6,gnd:1073291626:alt; gnd:4124698-6:alt,0,2
kimbunda,Kimbunda,2,gnd:4811972-6; gnd:7567384-8,gnd:4811972-6:alt; gnd:7567384-8:alt,0,2
kiriwina,Kiriwina,2,gnd:1073291626; gnd:4124698-6,gnd:1073291626:alt; gnd:4124698-6:pref,1,1
kis,KIS,2,gnd:4135634-2; gnd:4681247-7,gnd:4135634-2:alt; gnd:4681247-7:alt,0,2
kisan,Kisan,2,gnd:1063367891; gnd:4102113-7,gnd:1063367891:alt; gnd:4102113-7:alt,0,2
"kittyhawk,flugzeug","Kittyhawk,Flugzeug",2,gnd:4738521-2; gnd:4738522-4,gnd:4738521-2:alt; gnd:4738522-4:alt,0,2
kleincomputer,Kleincomputer,2,gnd:4074837-6; gnd:4113872-7,gnd:4074837-6:alt; gnd:4113872-7:alt,0,2
"klonierung,gentechnologie","Klonierung,Gentechnologie",2,gnd:4123275-6; gnd:4250249-4,gnd:4123275-6:alt; gnd:4250249-4:alt,0,2
"klopffestigkeit,maßeinheit","Klopffestigkeit,Maßeinheit",2,gnd:4343433-2; gnd:4408860-7,gnd:4343433-2:alt; gnd:4408860-7:alt,0,2
knn,KNN,2,gnd:1032026901; gnd:4226127-2,gnd:1032026901:alt; gnd:4226127-2:alt,0,2
knoblauchsrauke,Knoblauchsrauke,2,gnd:7515812-7; gnd:7515813-9,gnd:7515812-7:alt; gnd:7515813-9:alt,0,2
knötchenflechte,Knötchenflechte,2,gnd:4278859-6; gnd:4469730-2,gnd:4278859-6:alt; gnd:4469730-2:alt,0,2
kobi,Kobi,2,gnd:1326317431; gnd:1336876913,gnd:1326317431:alt; gnd:1336876913:alt,0,2
koch-hermersdorf-schrift,Koch-Hermersdorf-Schrift,2,gnd:7646389-8; gnd:7647083-0,gnd:7646389-8:pref; gnd:7647083-0:alt,1,1
kohistānī,Kohistānī,2,gnd:1070103888; gnd:4747336-8,gnd:1070103888:alt; gnd:4747336-8:alt,0,2
kohle,Kohle,2,gnd:1306331153; gnd:4031641-5,gnd:1306331153:alt; gnd:4031641-5:pref,1,1
"kohlendioxid,partialdruck","Kohlendioxid,Partialdruck",2,gnd:4239856-3; gnd:4436407-6,gnd:4239856-3:alt; gnd:4436407-6:alt,0,2
"kohlenstoff,chemische bindung","Kohlenstoff,Chemische Bindung",2,gnd:4164549-2; gnd:4844082-6,gnd:4164549-2:alt; gnd:4844082-6:alt,0,2
koi,Koi,2,gnd:1271381281; gnd:4190804-1,gnd:1271381281:pref; gnd:4190804-1:alt,1,1
koinōnein,koinōnein,2,gnd:1148981683; gnd:4737216-3,gnd:1148981683:pref; gnd:4737216-3:pref,2,0
kol,kol,2,gnd:1141710285; gnd:116206966X,gnd:1141710285:pref; gnd:116206966X:pref,2,0
kola,Kola,2,gnd:1368597483; gnd:4842579-5,gnd:1368597483:alt; gnd:4842579-5:alt,0,2
kom,Kom,2,gnd:1237539056; gnd:4190167-8,gnd:1237539056:alt; gnd:4190167-8:alt,0,2
kommunalbeamter,Kommunalbeamter,2,gnd:4164784-1; gnd:4164792-0,gnd:4164784-1:pref; gnd:4164792-0:alt,1,1
kommunale einnahmen,Kommunale Einnahmen,2,gnd:4194925-0; gnd:4288526-7,gnd:4194925-0:alt; gnd:4288526-7:alt,0,2
kommutative gerechtigkeit,Kommutative Gerechtigkeit,2,gnd:4270001-2; gnd:7684542-4,gnd:4270001-2:alt; gnd:7684542-4:alt,0,2
kompaktkassette,Kompaktkassette,2,gnd:4036993-6; gnd:4185685-5,gnd:4036993-6:alt; gnd:4185685-5:alt,0,2
komprimiertes gas,Komprimiertes Gas,2,gnd:4133101-1; gnd:4150729-0,gnd:4133101-1:alt; gnd:4150729-0:alt,0,2
kong,Kong,2,gnd:1235158268; gnd:1237539056,gnd:1235158268:alt; gnd:1237539056:alt,0,2
kongobild,Kongobild,2,gnd:4380758-6; gnd:4750286-1,gnd:4380758-6:pref; gnd:4750286-1:pref,2,0
kongresszentrum,Kongresszentrum,2,gnd:4164975-8; gnd:4196151-1,gnd:4164975-8:alt; gnd:4196151-1:alt,0,2
konkani,Konkani,2,gnd:1112747842; gnd:4346753-2,gnd:1112747842:alt; gnd:4346753-2:pref,1,1
kontakthof,Kontakthof,2,gnd:4270589-7; gnd:4532120-6,gnd:4270589-7:pref; gnd:4532120-6:alt,1,1
konzertsänger,Konzertsänger,2,gnd:4124099-6; gnd:4398801-5,gnd:4124099-6:alt; gnd:4398801-5:pref,1,1
koongo,Koongo,2,gnd:4073680-5; gnd:4580392-4,gnd:4073680-5:alt; gnd:4580392-4:alt,0,2
kooperative rüstungssteuerung,Kooperative Rüstungssteuerung,2,gnd:4115804-0; gnd:7502686-7,gnd:4115804-0:alt; gnd:7502686-7:alt,0,2
kophu,Kophu,2,gnd:1164039709; gnd:1250715156,gnd:1164039709:alt; gnd:1250715156:alt,0,2
kora-sprache,Kora-Sprache,2,gnd:4120228-4; gnd:4726748-3,gnd:4120228-4:alt; gnd:4726748-3:alt,0,2
korava,Korava,2,gnd:1251021697; gnd:4391562-0,gnd:1251021697:alt; gnd:4391562-0:pref,1,1
kore,Kore,2,gnd:4165306-3; gnd:4785452-2,gnd:4165306-3:pref; gnd:4785452-2:alt,1,1
koseform,Koseform,2,gnd:4165364-6; gnd:4165365-8,gnd:4165364-6:alt; gnd:4165365-8:alt,0,2
kota-sprache,Kota-Sprache,2,gnd:1049678540; gnd:4491242-0,gnd:1049678540:pref; gnd:4491242-0:alt,1,1
koya,Koya,2,gnd:1065772432; gnd:1368597483,gnd:1065772432:alt; gnd:1368597483:alt,0,2
koyi,Koyi,2,gnd:1271381281; gnd:4383092-4,gnd:1271381281:alt; gnd:4383092-4:alt,0,2
kozykel,Kozykel,2,gnd:4432628-2; gnd:4704507-3,gnd:4432628-2:pref; gnd:4704507-3:alt,1,1
krankenheilung,Krankenheilung,2,gnd:4024087-3; gnd:4138963-3,gnd:4024087-3:alt; gnd:4138963-3:alt,0,2
kreol,Kreol,2,gnd:4073790-1; gnd:4345163-9,gnd:4073790-1:alt; gnd:4345163-9:alt,0,2
krt,krt,2,gnd:1162069708; gnd:1358908168,gnd:1162069708:pref; gnd:1358908168:pref,2,0
kryonik,Kryonik,2,gnd:4165823-1; gnd:4344464-7,gnd:4165823-1:alt; gnd:4344464-7:alt,0,2
ksh,ksh,2,gnd:1162069716; gnd:1358411190,gnd:1162069716:pref; gnd:1358411190:pref,2,0
ktb,ktb,2,gnd:1162069724; gnd:4289192-9,gnd:1162069724:pref; gnd:4289192-9:alt,1,1
kubisches kristallsystem,Kubisches Kristallsystem,2,gnd:4314776-8; gnd:4573827-0,gnd:4314776-8:alt; gnd:4573827-0:alt,0,2
kukumindjen,Kukumindjen,2,gnd:4273404-6; gnd:7567162-1,gnd:4273404-6:alt; gnd:7567162-1:alt,0,2
"kultur,berichterstattung","Kultur,Berichterstattung",2,gnd:4017026-3; gnd:4333556-1,gnd:4017026-3:alt; gnd:4333556-1:alt,0,2
kulturhistorische schule,Kulturhistorische Schule,2,gnd:4442290-8; gnd:7703400-4,gnd:4442290-8:alt; gnd:7703400-4:pref,1,1
kumbe,Kumbe,2,gnd:1237539056; gnd:4301263-2,gnd:1237539056:alt; gnd:4301263-2:alt,0,2
kurnai,Kurnai,2,gnd:1066934258; gnd:4511782-2,gnd:1066934258:pref; gnd:4511782-2:alt,1,1
kuskus,Kuskus,2,gnd:4700971-8; gnd:7722786-4,gnd:4700971-8:alt; gnd:7722786-4:pref,1,1
kutthung,Kutthung,2,gnd:1059103389; gnd:7698282-8,gnd:1059103389:alt; gnd:7698282-8:alt,0,2
kwara,Kwara,2,gnd:4076465-5; gnd:4133908-3,gnd:4076465-5:alt; gnd:4133908-3:alt,0,2
kwojeffa,Kwojeffa,2,gnd:7603375-2; gnd:7688938-5,gnd:7603375-2:alt; gnd:7688938-5:alt,0,2
kyrios,Kyrios,2,gnd:1148981845; gnd:4288610-7,gnd:1148981845:pref; gnd:4288610-7:pref,2,0
kölsch,Kölsch,2,gnd:4378826-9; gnd:4585115-3,gnd:4378826-9:alt; gnd:4585115-3:pref,1,1
küchenschabe,Küchenschabe,2,gnd:4165862-0; gnd:4340475-3,gnd:4165862-0:pref; gnd:4340475-3:alt,1,1
"küken,geflügelmast","Küken,Geflügelmast",2,gnd:4165875-9; gnd:4554911-4,gnd:4165875-9:alt; gnd:4554911-4:alt,0,2
künstlerwerkstatt,Künstlerwerkstatt,2,gnd:4140619-9; gnd:4143284-8,gnd:4140619-9:alt; gnd:4143284-8:alt,0,2
lactoperoxidase,Lactoperoxidase,2,gnd:4166379-2; gnd:4564742-2,gnd:4166379-2:pref; gnd:4564742-2:alt,1,1
lactuca sativa,Lactuca sativa,2,gnd:4155983-6; gnd:4370370-7,gnd:4155983-6:alt; gnd:4370370-7:alt,0,2
lagb,LAGB,2,gnd:1221635085; gnd:4329193-4,gnd:1221635085:alt; gnd:4329193-4:alt,0,2
lagrange-methode,Lagrange-Methode,2,gnd:4302097-5; gnd:4620732-6,gnd:4302097-5:alt; gnd:4620732-6:pref,1,1
"lahu,sprache","Lahu,Sprache",2,gnd:4120239-9; gnd:4780205-4,gnd:4120239-9:alt; gnd:4780205-4:alt,0,2
lai,Lai,2,gnd:4166463-2; gnd:4791747-7,gnd:4166463-2:pref; gnd:4791747-7:alt,1,1
lak,Lak,2,gnd:4223267-3; gnd:7528002-4,gnd:4223267-3:alt; gnd:7528002-4:alt,0,2
lama lama,Lama Lama,2,gnd:4166491-7; gnd:7588815-4,gnd:4166491-7:alt; gnd:7588815-4:alt,0,2
landrichter,Landrichter,2,gnd:1287075525; gnd:4398781-3,gnd:1287075525:alt; gnd:4398781-3:pref,1,1
langi,Langi,2,gnd:1073291413; gnd:7720092-5,gnd:1073291413:alt; gnd:7720092-5:alt,0,2
lari,Lari,2,gnd:4098884-3; gnd:4477897-1,gnd:4098884-3:alt; gnd:4477897-1:alt,0,2
larka-kol,Larka-kol,2,gnd:4297455-0; gnd:4297456-2,gnd:4297455-0:alt; gnd:4297456-2:alt,0,2
lastkahn,Lastkahn,2,gnd:1046712101; gnd:1163850276,gnd:1046712101:alt; gnd:1163850276:alt,0,2
"latein,literatur","Latein,Literatur",2,gnd:1309746605; gnd:1309746974,gnd:1309746605:alt; gnd:1309746974:alt,0,2
lautenclavicymbel,Lautenclavicymbel,2,gnd:120089040X; gnd:1298853591,gnd:120089040X:alt; gnd:1298853591:alt,0,2
lautenwerk,Lautenwerk,2,gnd:120089040X; gnd:1298853591,gnd:120089040X:alt; gnd:1298853591:alt,0,2
lca,LCA,2,gnd:1251443192; gnd:4299127-4,gnd:1251443192:alt; gnd:4299127-4:alt,0,2
lcp,LCP,2,gnd:4221742-8; gnd:4232311-3,gnd:4221742-8:alt; gnd:4232311-3:alt,0,2
ld,ld,2,gnd:1237130131; gnd:7628944-8,gnd:1237130131:alt; gnd:7628944-8:alt,0,2
le,le,2,gnd:1162069767; gnd:4451183-8,gnd:1162069767:pref; gnd:4451183-8:pref,2,0
leadsheet,Leadsheet,2,gnd:1362835048; gnd:7545447-6,gnd:1362835048:pref; gnd:7545447-6:alt,1,1
lebensnaher unterricht,Lebensnaher Unterricht,2,gnd:4167049-8; gnd:4203824-8,gnd:4167049-8:pref; gnd:4203824-8:alt,1,1
legismus,Legismus,2,gnd:4242588-8; gnd:4367906-7,gnd:4242588-8:alt; gnd:4367906-7:pref,1,1
lehnbildung,Lehnbildung,2,gnd:4167142-9; gnd:7654679-2,gnd:4167142-9:alt; gnd:7654679-2:alt,0,2
lehrbrief,Lehrbrief,2,gnd:4157050-9; gnd:4193439-8,gnd:4157050-9:alt; gnd:4193439-8:alt,0,2
"lehrkörper,hochschule","Lehrkörper,Hochschule",2,gnd:4025243-7; gnd:4160219-5,gnd:4025243-7:alt; gnd:4160219-5:alt,0,2
"lehrpersonal,hochschule","Lehrpersonal,Hochschule",2,gnd:4025243-7; gnd:4160219-5,gnd:4025243-7:alt; gnd:4160219-5:alt,0,2
leistungsanalyse,Leistungsanalyse,2,gnd:4167271-9; gnd:4167290-2,gnd:4167271-9:alt; gnd:4167290-2:alt,0,2
lelemi,Lelemi,2,gnd:4654389-2; gnd:4656887-6,gnd:4654389-2:alt; gnd:4656887-6:alt,0,2
lemuroidea,Lemuroidea,2,gnd:4158777-7; gnd:4167359-1,gnd:4158777-7:alt; gnd:4167359-1:alt,0,2
lenni,Lenni,2,gnd:4090978-5; gnd:4438738-6,gnd:4090978-5:alt; gnd:4438738-6:alt,0,2
"lepton,hadron","Lepton,Hadron",2,gnd:4482525-0; gnd:4745456-8,gnd:4482525-0:alt; gnd:4745456-8:alt,0,2
leptonenstreuung,Leptonenstreuung,2,gnd:4170965-2; gnd:4274108-7,gnd:4170965-2:alt; gnd:4274108-7:pref,1,1
lerchenfalke,Lerchenfalke,2,gnd:1104153378; gnd:4194962-6,gnd:1104153378:alt; gnd:4194962-6:alt,0,2
leuchtschiff weser,Leuchtschiff Weser,2,gnd:1330586271; gnd:1359727116,gnd:1330586271:alt; gnd:1359727116:alt,0,2
lexware 2018 wawi pro,Lexware 2018 wawi pro,2,gnd:1155445139; gnd:1218181001,gnd:1155445139:alt; gnd:1218181001:alt,0,2
libellula depressa,Libellula depressa,2,gnd:7558407-4; gnd:7784103-7,gnd:7558407-4:pref; gnd:7784103-7:alt,1,1
lichtbogenbolzenschweißen,Lichtbogenbolzenschweißen,2,gnd:4146265-8; gnd:4167574-5,gnd:4146265-8:alt; gnd:4167574-5:pref,1,1
lichtbogenentladung,Lichtbogenentladung,2,gnd:4035598-6; gnd:4146213-0,gnd:4035598-6:alt; gnd:4146213-0:alt,0,2
liechtenstein-preis,Liechtenstein-Preis,2,gnd:116419948X; gnd:1350559911,gnd:116419948X:alt; gnd:1350559911:pref,1,1
linga,Linga,2,gnd:4563555-9; gnd:7703142-8,gnd:4563555-9:pref; gnd:7703142-8:alt,1,1
lingombe,Lingombe,2,gnd:4021583-0; gnd:7549084-5,gnd:4021583-0:alt; gnd:7549084-5:alt,0,2
linsenplastik,Linsenplastik,2,gnd:4268224-1; gnd:4300844-6,gnd:4268224-1:pref; gnd:4300844-6:alt,1,1
lis,LIS,2,gnd:4261646-3; gnd:7741540-1,gnd:4261646-3:alt; gnd:7741540-1:alt,0,2
litchi,Litchi,2,gnd:4272617-7; gnd:4272620-7,gnd:4272617-7:alt; gnd:4272620-7:alt,0,2
"literatur,belarus","Literatur,Belarus",2,gnd:1309990484; gnd:1309990697,gnd:1309990484:alt; gnd:1309990697:alt,0,2
literaturförderung des kulturkreises der deutschen wirtschaft im bdi,Literaturförderung des Kulturkreises der deutschen Wirtschaft im BDI,2,gnd:1167862473; gnd:1167863887,gnd:1167862473:alt; gnd:1167863887:alt,0,2
literaturpreis ruhrgebiet,Literaturpreis Ruhrgebiet,2,gnd:1175222100; gnd:4224487-0,gnd:1175222100:alt; gnd:4224487-0:pref,1,1
lithiumbatterie,Lithiumbatterie,2,gnd:1327955814; gnd:4167901-5,gnd:1327955814:alt; gnd:4167901-5:pref,1,1
liv,LIV,2,gnd:4135425-4; gnd:4332022-3,gnd:4135425-4:alt; gnd:4332022-3:pref,1,1
llm,LLM,2,gnd:1322631905; gnd:4704614-4,gnd:1322631905:alt; gnd:4704614-4:alt,0,2
loba,Loba,2,gnd:1281854549; gnd:1287969534,gnd:1281854549:alt; gnd:1287969534:alt,0,2
lochscheibe,Lochscheibe,2,gnd:1370972202; gnd:4776216-0,gnd:1370972202:alt; gnd:4776216-0:pref,1,1
loke,Loke,2,gnd:1281854549; gnd:4405513-4,gnd:1281854549:alt; gnd:4405513-4:pref,1,1
losso,Losso,2,gnd:4262117-3; gnd:4455496-5,gnd:4262117-3:alt; gnd:4455496-5:alt,0,2
lote,Lote,2,gnd:1323832262; gnd:7628190-5,gnd:1323832262:alt; gnd:7628190-5:pref,1,1
lotus 1-2-3 97 für windows 95,LOTUS 1-2-3 97 für Windows 95,2,gnd:4494506-1; gnd:4531810-4,gnd:4494506-1:alt; gnd:4531810-4:alt,0,2
lotus 1-2-3 97 für windows nt,LOTUS 1-2-3 97 für Windows NT,2,gnd:4494506-1; gnd:4531810-4,gnd:4494506-1:alt; gnd:4531810-4:alt,0,2
lowa,Lowa,2,gnd:1281854549; gnd:1287969534,gnd:1281854549:alt; gnd:1287969534:alt,0,2
lozi,Lozi,2,gnd:4111399-8; gnd:4281016-4,gnd:4111399-8:alt; gnd:4281016-4:alt,0,2
lpg,LPG,2,gnd:1309260559; gnd:4073994-6,gnd:1309260559:alt; gnd:4073994-6:alt,0,2
lsp,LSP,2,gnd:1238301630; gnd:4016216-3,gnd:1238301630:alt; gnd:4016216-3:alt,0,2
lua,Lua,2,gnd:4691575-8; gnd:7549029-8,gnd:4691575-8:alt; gnd:7549029-8:pref,1,1
luba,Luba,2,gnd:1239424841; gnd:4099839-3,gnd:1239424841:alt; gnd:4099839-3:pref,1,1
luftbeförderung,Luftbeförderung,2,gnd:4017660-5; gnd:4445205-6,gnd:4017660-5:alt; gnd:4445205-6:alt,0,2
luftfahrtabkommen,Luftfahrtabkommen,2,gnd:4168240-3; gnd:4630900-7,gnd:4168240-3:pref; gnd:4630900-7:alt,1,1
lui,Lui,2,gnd:4451185-1; gnd:4846485-5,gnd:4451185-1:pref; gnd:4846485-5:alt,1,1
luvale,Luvale,2,gnd:4074402-4; gnd:4846483-1,gnd:4074402-4:alt; gnd:4846483-1:alt,0,2
lwo,Lwo,2,gnd:1073291413; gnd:4036680-7,gnd:1073291413:alt; gnd:4036680-7:alt,0,2
ly,ly,2,gnd:4351840-0; gnd:4551794-0,gnd:4351840-0:alt; gnd:4551794-0:pref,1,1
lärmschutzwall,Lärmschutzwall,2,gnd:4130011-7; gnd:4304825-0,gnd:4130011-7:alt; gnd:4304825-0:pref,1,1
löschungsanspruch,Löschungsanspruch,2,gnd:1110921934; gnd:4168023-6,gnd:1110921934:alt; gnd:4168023-6:pref,1,1
maa,Maa,2,gnd:1028973802; gnd:7747802-2,gnd:1028973802:alt; gnd:7747802-2:alt,0,2
maasai,Maasai,2,gnd:4074616-1; gnd:4612123-7,gnd:4074616-1:alt; gnd:4612123-7:alt,0,2
mabuiag,Mabuiag,2,gnd:1073294110; gnd:1205828257,gnd:1073294110:alt; gnd:1205828257:alt,0,2
macromind director 8.5,Macromind Director 8.5,2,gnd:4655163-3; gnd:4681475-9,gnd:4655163-3:alt; gnd:4681475-9:alt,0,2
madschhi,Madschhi,2,gnd:1057017469; gnd:111550133X,gnd:1057017469:alt; gnd:111550133X:alt,0,2
magen,magen,2,gnd:1162069864; gnd:4036943-2,gnd:1162069864:pref; gnd:4036943-2:pref,2,0
maharashtri,Maharashtri,2,gnd:1116992531; gnd:4037440-3,gnd:1116992531:pref; gnd:4037440-3:alt,1,1
maina,Maina,2,gnd:4168629-9; gnd:4782034-2,gnd:4168629-9:pref; gnd:4782034-2:alt,1,1
maison de plaisance,Maison de plaisance,2,gnd:4219343-6; gnd:4226464-9,gnd:4219343-6:alt; gnd:4226464-9:alt,0,2
mak,MAK,2,gnd:4074488-7; gnd:4170059-4,gnd:4074488-7:alt; gnd:4170059-4:alt,0,2
maka,Maka,2,gnd:4276785-4; gnd:7523126-8,gnd:4276785-4:pref; gnd:7523126-8:alt,1,1
makari,Makari,2,gnd:1162635223; gnd:1222304570,gnd:1162635223:alt; gnd:1222304570:alt,0,2
mal paharia,Mal Paharia,2,gnd:1052070051; gnd:4415517-7,gnd:1052070051:alt; gnd:4415517-7:alt,0,2
malau,Malau,2,gnd:1079360565; gnd:4649539-3,gnd:1079360565:alt; gnd:4649539-3:alt,0,2
malinke,Malinke,2,gnd:4100053-5; gnd:4468119-7,gnd:4100053-5:pref; gnd:4468119-7:alt,1,1
malonamide,Malonamide,2,gnd:1063982510; gnd:106398288X,gnd:1063982510:alt; gnd:106398288X:alt,0,2
mandatsverteilung,Mandatsverteilung,2,gnd:4472330-1; gnd:4619143-4,gnd:4472330-1:alt; gnd:4619143-4:pref,1,1
manding,Manding,2,gnd:4295594-4; gnd:4468119-7,gnd:4295594-4:pref; gnd:4468119-7:alt,1,1
mandingue,Mandingue,2,gnd:4295594-4; gnd:4468119-7,gnd:4295594-4:alt; gnd:4468119-7:alt,0,2
mandinka,Mandinka,2,gnd:4100053-5; gnd:4468119-7,gnd:4100053-5:alt; gnd:4468119-7:alt,0,2
mandjildara,Mandjildara,2,gnd:7540609-3; gnd:7681061-6,gnd:7540609-3:alt; gnd:7681061-6:alt,0,2
manganferrit,Manganferrit,2,gnd:4162696-5; gnd:4466801-6,gnd:4162696-5:alt; gnd:4466801-6:alt,0,2
manilahanf,Manilahanf,2,gnd:4607534-3; gnd:4607536-7,gnd:4607534-3:alt; gnd:4607536-7:alt,0,2
maninka,Maninka,2,gnd:4100053-5; gnd:4468119-7,gnd:4100053-5:alt; gnd:4468119-7:alt,0,2
manjhi,Manjhi,2,gnd:1057017469; gnd:111550133X,gnd:1057017469:alt; gnd:111550133X:alt,0,2
manjiljara,Manjiljara,2,gnd:7540609-3; gnd:7681061-6,gnd:7540609-3:alt; gnd:7681061-6:alt,0,2
mantjiltjara,Mantjiltjara,2,gnd:7540609-3; gnd:7681061-6,gnd:7540609-3:alt; gnd:7681061-6:alt,0,2
map,MAP,2,gnd:1293211117; gnd:4128254-1,gnd:1293211117:alt; gnd:4128254-1:pref,1,1
mapi,Mapi,2,gnd:104125069X; gnd:4614550-3,gnd:104125069X:alt; gnd:4614550-3:pref,1,1
mara,Mara,2,gnd:1078278199; gnd:4313085-9,gnd:1078278199:alt; gnd:4313085-9:alt,0,2
mardo,Mardo,2,gnd:4271517-9; gnd:7681061-6,gnd:4271517-9:alt; gnd:7681061-6:alt,0,2
mare,mare,2,gnd:1162067209; gnd:4371662-3,gnd:1162067209:pref; gnd:4371662-3:pref,2,0
margali,Margali,2,gnd:4663035-1; gnd:7714567-7,gnd:4663035-1:alt; gnd:7714567-7:alt,0,2
marginellidae,Marginellidae,2,gnd:1164722018; gnd:1164722751,gnd:1164722018:alt; gnd:1164722751:alt,0,2
marka-dafing,Marka-Dafing,2,gnd:7545262-5; gnd:7549101-1,gnd:7545262-5:alt; gnd:7549101-1:alt,0,2
markov-zufallsfeld,Markov-Zufallsfeld,2,gnd:4168933-1; gnd:4391302-7,gnd:4168933-1:pref; gnd:4391302-7:alt,1,1
marron,Marron,2,gnd:1042070571; gnd:4222666-1,gnd:1042070571:alt; gnd:4222666-1:alt,0,2
masarwa,Masarwa,2,gnd:4009193-4; gnd:4785072-3,gnd:4009193-4:alt; gnd:4785072-3:alt,0,2
maschinelle sprachverarbeitung,Maschinelle Sprachverarbeitung,2,gnd:4035843-4; gnd:4116579-2,gnd:4035843-4:alt; gnd:4116579-2:alt,0,2
massaker von grugliasco und collegno,Massaker von Grugliasco und Collegno,2,gnd:4706777-9; gnd:4706778-0,gnd:4706777-9:pref; gnd:4706778-0:pref,2,0
"massenmedien,forschung","Massenmedien,Forschung",2,gnd:4074658-6; gnd:4169194-5,gnd:4074658-6:alt; gnd:4169194-5:alt,0,2
mataco,Mataco,2,gnd:4037917-6; gnd:7793556-1,gnd:4037917-6:pref; gnd:7793556-1:alt,1,1
matador marke,Matador Marke,2,gnd:1126273341; gnd:4826919-0,gnd:1126273341:pref; gnd:4826919-0:pref,2,0
maximum-likelihood-schätzung,Maximum-Likelihood-Schätzung,2,gnd:4194624-8; gnd:4651620-7,gnd:4194624-8:pref; gnd:4651620-7:alt,1,1
